OBJECTID,area_ac,Shape__Area,Shape__Length
182,2.47,107621.8671875,1312.28494594618
183,2.47,107621.915039063,1312.28511640341
184,2.47,107621.7578125,1312.28415540792
185,2.47,107621.926757813,1312.28529777448
186,4.94,215243.583007813,1973.28124334092
187,2.47,107621.931640625,1312.28531426664
188,2.47,107621.90234375,1312.28514587442
189,2.47,107621.897460938,1312.28510224238
190,2.47,107621.90625,1312.28515072964
191,2.47,107621.850585938,1312.28480921432
192,2.47,107621.92578125,1312.2852596793
193,4.94,215244.08203125,1963.631101208
194,2.47,107621.928710938,1312.28525853843
195,2.47,107621.955078125,1312.28542528715
196,2.47,107621.819335938,1312.28460316171
197,2.47,107621.8828125,1312.28496927853
198,2.47,107621.850585938,1312.28476953158
199,2.47,107622.38671875,1312.28673936053
200,111.2,4842992.51855469,13113.2584854234
201,32.12,1399086.77441406,6571.01322994314
202,2.47,107622.4921875,1312.28728438538
203,9.88,430487.758789063,2624.56947322239
204,2.47,107621.874023438,1312.28472944937
205,7.41,322867.821289063,2634.03868512059
206,2.47,107621.837890625,1312.28448960727
207,2.47,107621.797851563,1312.28424027932
208,39.54,1721949.81738281,5900.42889429964
209,2.47,107622.739257813,1312.2884899518
210,4.94,215245.411132813,1973.16242043032
211,2.47,107622.68359375,1312.28816654109
212,7.41,322868.1953125,2624.57717675693
213,2.47,107622.740234375,1312.28848292823
214,4.94,215244.045898438,1963.61557519349
215,2.47,107621.9609375,1312.28457735972
216,1445.56,62959242.4042969,53718.6449070223
217,133.44,5811629.75878906,14425.7236450605
218,528.8,23031297.1025391,38688.9254486231
219,14.83,645732.983398438,3285.49950239884
220,400.31,17434933.390625,25547.2365561242
221,106.25,4627775.125,12452.4952876266
222,4.94,215246.228515625,1963.72126706683
223,4.94,215244.850585938,1973.20423499083
224,2.47,107622.76171875,1312.2883985533
225,2.47,107622.228515625,1312.28566594121
226,2.47,107622.169921875,1312.28538803438
227,4.94,215245.579101563,1973.17317595682
228,2.47,107622.500976563,1312.28706988214
229,2.47,107622.130859375,1312.28514830418
230,2.47,107623.418945313,1312.29195765841
231,2.47,107622.219726563,1312.28566044835
232,12.36,538112.338867188,3285.48387670163
233,2.47,107622.181640625,1312.28541660562
234,9.88,430491.321289063,3275.98255209733
235,2.47,107622.293945313,1312.28588329625
236,2.47,107622.747070313,1312.28824675116
237,1139.15,49614028.2783203,43315.0120467326
238,2.47,107622.225585938,1312.28564904649
239,9.88,430491.202148438,3285.46001347727
240,2.47,107622.741210938,1312.28819442175
241,2.47,107622.760742188,1312.28831740903
242,2.47,107622.279296875,1312.28596111485
243,2.47,107622.853515625,1312.28886294663
244,2.47,107622.874023438,1312.28899110712
245,29.65,1291470.19042969,5258.67783320597
246,2.47,107622.241210938,1312.28570348477
247,2.47,107622.899414063,1312.28913444071
248,4.94,215245.608398438,1973.1777694095
249,4.94,215244.83203125,1963.65052156238
250,2.47,107622.836914063,1312.28875943846
251,2.47,107622.7421875,1312.2882429632
252,2.47,107622.360351563,1312.28624161197
253,2.47,107622.750976563,1312.28830107634
254,2.47,107622.436523438,1312.28669723662
255,2.47,107623.17578125,1312.29063919908
256,2.47,107622.995117188,1312.28957394671
257,2.47,107622.376953125,1312.28633004501
258,2.47,107622.374023438,1312.2864659233
259,2.47,107623.327148438,1312.2913961943
260,2.47,107622.3203125,1312.2859800908
261,2.47,107622.215820313,1312.28548308586
262,9.88,430492.428710938,3285.44931592061
263,2.47,107622.3359375,1312.28619874164
264,2.47,107623.107421875,1312.29016779401
265,2.47,107622.3046875,1312.28599208273
266,2.47,107622.913085938,1312.28908212755
267,2.47,107622.325195313,1312.28610718112
268,2.47,107622.385742188,1312.28646310366
269,19.77,860987.178710938,5249.16721505843
270,2.47,107623.284179688,1312.29118668654
271,49.42,2152457.49023438,9204.97507557901
272,2.47,107623.256835938,1312.29098270513
273,2.47,107622.370117188,1312.28633184849
274,2.47,107622.470703125,1312.28681724527
275,2.47,107623.41796875,1312.29184719596
276,7.41,322870.256835938,2624.58327385377
277,4.94,215246.095703125,1973.15942180023
278,2.47,107622.837890625,1312.28874135326
279,2.47,107622.352539063,1312.28618264553
280,2.47,107622.328125,1312.28604135389
281,2.47,107623.514648438,1312.29239033656
282,2.47,107622.388671875,1312.28631962696
283,2.47,107623.370117188,1312.29162467135
284,2.47,107622.362304688,1312.28621090105
285,943.94,41111971.2158203,41379.6848999031
286,2.47,107622.500976563,1312.28705574466
287,17.3,753357.889648438,4597.76754852558
288,7.41,322867.309570313,2634.1309220442
289,2.47,107623.9296875,1312.29469743043
290,2.47,107623.645507813,1312.29314779185
291,2.47,107623.6171875,1312.2929688031
292,128.49,5596422.54296875,20373.4343279785
293,2.47,107623.28515625,1312.29113230045
294,2.47,107623.68359375,1312.29335224178
295,2.47,107622.4296875,1312.28653556073
296,2.47,107623.495117188,1312.29228009789
297,2.47,107623.079101563,1312.29001605137
298,2.47,107622.444335938,1312.28658660994
299,2.47,107623.448242188,1312.29197794437
300,2.47,107622.583984375,1312.28743994211
301,2.47,107622.544921875,1312.28716744818
302,19.77,860976.716796875,4597.81810087148
303,2.47,107622.552734375,1312.28714234818
304,1272.59,55425958.8769531,91964.0536150113
305,2.47,107622.564453125,1312.28725329856
306,4.94,215245.204101563,1963.66572373349
307,7.41,322871.743164063,2624.58819568809
308,4.94,215245.102539063,1963.66172145857
309,2.47,107622.604492188,1312.28740980633
310,2.47,107623.032226563,1312.28982919634
311,2.47,107622.616210938,1312.28747825486
312,2.47,107622.67578125,1312.28784089682
313,2.47,107622.490234375,1312.28671288918
314,2.47,107622.58984375,1312.28726944074
315,4.94,215245.110351563,1963.66380500965
316,163.09,7103068.50878906,11800.9630587146
317,336.06,14636854.3730469,25594.4216548546
318,9.88,430495.654296875,3285.42101107327
319,7.41,322872.323242188,2624.59031196519
320,1564.17,68125457.1464844,99847.5724538202
321,397.84,17327417.5439453,38028.3549721907
322,659.77,28735434.8720703,57070.5884485177
323,1680.31,73183613.9882813,66322.6628714875
324,620.23,27013562.0039063,34724.1182568612
325,2.47,107622.453125,1312.28656263285
326,61.78,2690596.90234375,11131.0518309292
327,150.73,6565019.56835938,17078.6699042129
328,12.36,538114.249023438,3927.36408132295
329,7.41,322870.854492188,2624.58576970656
330,91.43,3982085.41894531,11838.7835149052
331,71.66,3121067.40722656,8544.11091074191
332,2.47,107623.662109375,1312.29304826025
333,4.94,215247.051757813,1973.14470499654
334,4.94,215244.435546875,1963.61832803939
335,341,14163848.4033203,23877.4877312476
336,1964.48,85560790.8535156,68267.4555817574
337,2.47,107623.696289063,1312.29318141444
338,17.3,753365.766601563,3936.8798907592
339,4.94,215246.368164063,1973.17276709437
340,46.95,2044824.72851563,5910.08940428146
341,896.99,39067450.3847656,40793.7947145289
342,76.6,3336291.00390625,9205.2307082584
343,205.1,8932651.33203125,14454.3636842682
344,1566.64,68233449.4941406,72846.3762873725
345,42.01,1829590.05664063,6551.94410783551
346,84.02,3659248.59667969,9856.19152279666
347,42.01,1829585.83007813,6561.43777550494
348,242.16,10547144.5683594,21676.3237888771
349,19.77,860986.438476563,3927.40820158156
350,7.41,322874.14453125,2633.91656551898
351,14.83,645736.81640625,3936.86432887092
352,4.94,215245.673828125,1963.66603643795
353,2.47,107624.258789063,1312.2962023989
354,4.94,215249.641601563,1963.7910425025
355,7.41,322874.198242188,2633.9184974863
356,4.94,215249.873046875,1963.79467853541
357,2.47,107624.434570313,1312.29721426588
358,2.47,107623.768554688,1312.29343587447
359,2.47,107625.083984375,1312.30083114177
360,64.25,2141493.76855469,9843.65665533209
361,14.83,645749.217773438,3936.89811524641
362,22.24,968626.768554688,5249.20472448229
363,4.94,215249.142578125,1963.772689342
364,2.47,107625.840820313,1312.30511529759
365,4.94,215251.455078125,1973.0808039099
366,17.3,753377.174804688,4597.70053198938
367,12.36,538122.594726563,3285.42146864691
368,9.88,430495.361328125,3294.86813483007
369,4.94,215247.700195313,1963.72946225442
370,2.47,107623.489257813,1312.29183896252
371,864.87,37668507.2919922,29503.2504166031
372,2.47,107623.889648438,1312.29409920068
373,2.47,107623.366210938,1312.29118081223
374,9.88,430497.231445313,3285.42729843265
375,86.49,3766797.86230469,9166.92309872335
376,2.47,107623.826171875,1312.29363930438
377,113.67,4950672.67871094,10517.2881894313
378,37.07,1614369.83300781,5910.01603273935
379,17.3,753371.149414063,3946.26132975512
380,4.94,215246.725585938,1963.69672799426
381,9.88,430501.241210938,3276.10809261026
382,4.94,215249.286132813,1973.12179126229
383,2.47,107623.684570313,1312.29289784451
384,2.47,107625.036132813,1312.3004218418
385,4.94,215250.586914063,1963.80062488385
386,2.47,107624.09375,1312.29514480245
387,4.94,215251.719726563,1963.82940332678
388,232.28,10116722.4072266,20289.2064144798
389,7.41,322878.853515625,2615.38361182749
390,19.77,861008.734375,5239.98617347279
391,22.24,968616.856445313,5891.21736811478
392,2.47,107625.852539063,1312.30501895007
393,17.3,753377.909179688,5258.49868248256
394,457.14,19910617.9199219,26245.9960720076
395,2.47,107625.865234375,1312.30508444171
396,61.78,2690615.33007813,9195.44486127692
397,7.41,322877.756835938,2624.61193388489
398,558.46,24323225.8779297,26925.4839365566
399,29.65,1291488.94824219,5910.03415059356
400,4.94,215252.09375,1963.83613272678
401,44.48,1937253.44042969,8525.30336070817
402,2.47,107623.874023438,1312.29386540336
403,2.47,107624.311523438,1312.29626552119
404,7.41,322873.178710938,2633.97541878139
405,4.94,215248.698242188,1973.14269411895
406,2.47,107624.28515625,1312.29616085717
407,4.94,215252.502929688,1963.84586215415
408,373.13,16251245.984375,24933.6232320479
409,1151.51,50153200.9775391,50630.9208239401
410,29.65,1291491.26074219,6570.87461154927
411,14.83,645757.624023438,3285.3881997725
412,2.47,107624.389648438,1312.29669616219
413,2.47,107624.494140625,1312.29729115706
414,12.36,538122.451171875,3936.89133748968
415,4.94,215248.848632813,1973.13603985376
416,2.47,107626.338867188,1312.30775026949
417,37.07,1614397.81152344,7213.08803097371
418,19.77,860991.352539063,4597.74714157757
419,217.45,9470949.62988281,24924.2588378102
420,24.71,1076269.06640625,5249.24372201512
421,4.94,215252.853515625,1973.07737102188
422,2.47,107625.926757813,1312.30534540692
423,2.47,107626.009765625,1312.30583497162
424,138.38,6026994.25585938,13141.6998671577
425,12.36,538135.595703125,3276.18496336336
426,9.88,430505.30078125,3285.38926422615
427,2.47,107626.162109375,1312.30672047912
428,4.94,215250.04296875,1963.7791398207
429,7.41,322880.653320313,2633.82766495151
430,185.33,8071993.81347656,17702.3302088351
431,84.02,3659224.2734375,9167.25756889088
432,17.3,753375.6640625,5239.86213265103
433,17.3,753390.634765625,5258.43573973155
434,4.94,215254.463867188,1973.06201613074
435,44.48,1937238.49902344,6561.48050374377
436,2.47,107627.328125,1312.31334002934
437,17.3,753391.53125,3927.76162253686
438,24.71,1076273.59960938,5258.43212353103
439,4.94,215252.842773438,1973.08431777061
440,14.83,645763.819335938,3946.11978299408
441,12.36,538123.153320313,3946.28092121886
442,380.54,16574482.8300781,36800.0621108819
