GEO_ID,FIPS,NAME,DP05_0068E,DP05_0069E,DP05_0070E,DP05_0071E,DP05_0072E,DP05_0073E,DP05_0074E,DP05_0076E,DP05_0081E,DP05_0069PE,DP05_0070PE,DP05_0071PE,DP05_0072PE,DP05_0073PE,DP05_0074PE,DP05_0076PE,DP05_0082PE,Percent Nonwhite
1400000U,06037113211,Census Tract 1132.11; Los Angeles County; California,4138,2419,632,6,872,0,543,659,3479,58.5,15.3,0.1,21.1,0,13.1,15.9,46.8,53.2
1400000U,06037113212,Census Tract 1132.12; Los Angeles County; California,2872,1617,284,109,907,0,533,764,2108,56.3,9.9,3.8,31.6,0,18.6,26.6,35.9,64.1
1400000U,06037113213,Census Tract 1132.13; Los Angeles County; California,5068,2943,415,278,1227,0,1296,1683,3385,58.1,8.2,5.5,24.2,0,25.6,33.2,36.4,63.6
1400000U,06037113231,Census Tract 1132.31; Los Angeles County; California,2233,1805,191,19,253,31,367,311,1922,80.8,8.6,0.9,11.3,1.4,16.4,13.9,61.8,38.2
1400000U,06037113232,Census Tract 1132.32; Los Angeles County; California,4777,3399,315,27,958,167,698,915,3862,71.2,6.6,0.6,20.1,3.5,14.6,19.2,52.3,47.7
1400000U,06037113234,Census Tract 1132.34; Los Angeles County; California,5640,2033,496,255,807,0,2794,3416,2224,36,8.8,4.5,14.3,0,49.5,60.6,19.3,80.7
1400000U,06037113235,Census Tract 1132.35; Los Angeles County; California,1690,1195,139,28,159,25,551,529,1161,70.7,8.2,1.7,9.4,1.5,32.6,31.3,49.5,50.5
1400000U,06037113237,Census Tract 1132.37; Los Angeles County; California,4765,2622,495,157,1410,10,752,1291,3474,55,10.4,3.3,29.6,0.2,15.8,27.1,40.4,59.6
1400000U,06037113238,Census Tract 1132.38; Los Angeles County; California,4596,1907,542,0,1020,0,1986,2490,2106,41.5,11.8,0,22.2,0,43.2,54.2,16.3,83.7
1400000U,06037113239,Census Tract 1132.39; Los Angeles County; California,2134,743,115,30,274,12,1101,1224,910,34.8,5.4,1.4,12.8,0.6,51.6,57.4,22.7,77.3
1400000U,06037113301,Census Tract 1133.01; Los Angeles County; California,4255,2710,133,61,1252,57,336,708,3547,63.7,3.1,1.4,29.4,1.3,7.9,16.6,52,48
1400000U,06037113303,Census Tract 1133.03; Los Angeles County; California,3799,2103,218,95,1084,29,1037,1438,2361,55.4,5.7,2.5,28.5,0.8,27.3,37.9,28.6,71.4
1400000U,06037113322,Census Tract 1133.22; Los Angeles County; California,4761,3107,721,43,656,0,839,1207,3554,65.3,15.1,0.9,13.8,0,17.6,25.4,47.6,52.4
1400000U,06037113323,Census Tract 1133.23; Los Angeles County; California,3904,1906,189,42,807,16,1587,1874,2030,48.8,4.8,1.1,20.7,0.4,40.7,48,28,72
1400000U,06037113324,Census Tract 1133.24; Los Angeles County; California,2837,2046,301,0,366,0,1051,1548,1289,72.1,10.6,0,12.9,0,37,54.6,22.7,77.3
1400000U,06037113423,Census Tract 1134.23; Los Angeles County; California,2845,1525,113,51,280,0,1406,1674,1171,53.6,4,1.8,9.8,0,49.4,58.8,27.6,72.4
